No_,Description,Base Unit of Measure,Gross Weight,Net Weight,Gen_ Prod_ Posting Group,Item Category Code,Fecha creación,Cód_ grupo precio,Unidad medida trabajo,Cód_ formato,Cód_ embalaje,Clave estadistica 1,Clave estadistica 2,Clave estadistica 4,Clave estadistica 5,Unidad medida LM,Categoria WEB 1,Categoria WEB 2,Grosor comercial,formato_Código,formato_Descripción,formato_Largo,formato_Alto,Superficie,formato_Grosor,Grupo_registro_IVA_produto,Unidad medida venta,Situación producto,embalaje_Codigo,Embalaje_Descripcion,Cód formato,Piezas/Caja,M2/Caja,Cajas/Palet,M2/Pallet,MLin/Caja,EAN,Cód. arancelario
A038688,DECOR VASILY I RECT 120X260,PZ,83.49,82.03,PORCELANIC,PORCELANIC,04/01/2023,K98,PZ,120X260,120X260/5,PC BIA GL,PZA.ESP,XLINING,ATELIER,,XLINING,120X260,0,120X260,120X260,260,120,3.12,0,IVA 21,PZ,C,120X260/5,120X260/5,120X260,5,15.6,2,31.2,13,8.43557E+12,69074000
A038689,DECOR VASILY II RECT 120X260,PZ,83.49,82.03,PORCELANIC,PORCELANIC,04/01/2023,K98,PZ,120X260,120X260/8,PC BIA GL,PZA.ESP,XLINING,ATELIER,,XLINING,120X260,0,120X260,120X260,260,120,3.12,0,IVA 21,PZ,C,120X260/8,120x260/8,120X260,1,3.12,8,24.96,2.6,8.43557E+12,69074000
A035230,STARON BRIGHTWHITE 3660X1350X12,PZ,101.75,100,SOLIDSURF,SOLIDSURF,08/02/2019,JM,PZ,3660X1350X,3660X1350X12,SOLIDSURF,PLANCHA,STARON,SWHITE,,STARON,3660X1350X,0,3660X1350X,3660x1350x12,366,135,4.94,0,IVA 21,PZ,C,3660X1350X12,3660X1350X12,3660X1350X,1,4.94,10,49.41,3.66,A035230,39205100
A039849,2 PELDAÑO RECTO ANT. C3 BOURG 33X120 2,PZ,11.82,11.61,PAV/REV,PAV/REV,02/08/2022,JM,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,,69074000
A036631,PELDAÑO RECTO ANT. C3 BOURG 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036633,PELDAÑO RECTO ANT. C3 VALMALENCO 33X120,PZ,11.68,11.48,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.22,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036632,PELDAÑO RECTO C1 BOURG 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.25,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036634,PELDAÑO RECTO C1 VALMALENCO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,1.33,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A032632,PELDAÑO RECTO ANT. C3 ALABAMA ARTICO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,1.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032633,PELDAÑO RECTO ANT. C3 ALABAMA CENERE 33X120,PZ,12.55,12.33,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.26,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032634,PELDAÑO RECTO ANT. C3 ALABAMA FAGGIO 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.19,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032635,PELDAÑO RECTO ANT. C3 ALABAMA NEBBIA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032636,PELDAÑO RECTO ANT. C3 ALABAMA QUERCIA 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.19,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032637,PELDAÑO RECTO ANT. C3 ALABAMA SANDALO 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A035735,PELDAÑO RECTO C1 ALABAMA ARTICO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035736,PELDAÑO RECTO C1 ALABAMA CENERE 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035737,PELDAÑO RECTO C1 ALABAMA FAGGIO 33X120,PZ,12.59,12.37,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035738,PELDAÑO RECTO C1 ALABAMA NEBBIA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035739,PELDAÑO RECTO C1 ALABAMA QUERCIA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035740,PELDAÑO RECTO C1 ALABAMA SANDALO 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.28,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038133,PELDAÑO RECTO ANT. C3 BURLINGTON GREY 33X120,PZ,11.4,11.2,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,BURLINGTON,,APE,33X120,3.19,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038134,PELDAÑO RECTO ANT. C3 BURLINGTON IVORY 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,BURLINGTON,,APE,33X120,3.21,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038135,PELDAÑO RECTO ANT. C3 BURLINGTON PEARL 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,BURLINGTON,,APE,33X120,3.24,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038136,PELDAÑO RECTO ANT. C3 BURLINGTON TAUPE 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,BURLINGTON,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038137,PELDAÑO RECTO ANT. C3 BURLINGTON VOLCANO 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,BURLINGTON,,APE,33X120,3.21,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038127,PELDAÑO RECTO ANT. C3 ILLINOIS BONE 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ILLINOIS,,APE,33X120,3.27,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038128,PELDAÑO RECTO ANT. C3 ILLINOIS GRAPHITE 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ILLINOIS,,APE,33X120,3.17,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038129,PELDAÑO RECTO ANT. C3 ILLINOIS GREY 33X120,PZ,12.36,12.15,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ILLINOIS,,APE,33X120,3.2,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038130,PELDAÑO RECTO ANT. C3 ILLINOIS WHITE 33X120,PZ,12.41,12.19,PAV/REV,PAV/REV,22/12/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ILLINOIS,,APE,33X120,3.2,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036375,PELDAÑO RECTO ANT. C3 KOEN CARAMELLO 33X120,PZ,12.5,12.28,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036377,PELDAÑO RECTO ANT. C3 KOEN CENERE 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036376,PELDAÑO RECTO ANT. C3 KOEN MIELE 33X120,PZ,12.36,12.15,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.28,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036378,PELDAÑO RECTO C1 KOEN CARAMELLO 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.32,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036382,PELDAÑO RECTO C1 KOEN CENERE 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036379,PELDAÑO RECTO C1 KOEN MIELE 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.35,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036381,PELDAÑO RECTO C1 KOEN NATURALE 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.15,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036380,PELDAÑO RECTO C1 KOEN TABACCO 33X120,PZ,12.64,12.42,PAV/REV,PAV/REV,08/08/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,KOEN,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A027569,PELDAÑO RECTO MANDALAY 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,06/09/2016,K91,PZ,33X120,E120X33/2-11,EXTRUSI,PZA ESP,APE,MANDALAY,,APE,33X120,3.24,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/2-11,E120X33/2-11,33X120,2,0.79,11,8.71,2.4,8.43531E+12,69074000
A026761,PELDAÑO FIOR. C1 OREGON HAYA 33X120,PZ,12.68,12.46,PAV/REV,PAV/REV,12/02/2016,K91,PZ,33X120,E120X33/2-11 SASSO,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.29,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/2-11 SASSO,E120x33/2-11 SASSO,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032161,PELDAÑO RECTO ANT. C3 OREGON NOGAL 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,24/04/2017,K91,PZ,33X120,E120X33/2-11 SASSO,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.32,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/2-11 SASSO,E120x33/2-11 SASSO,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A026762,PELDAÑO FIOR. C1 OREGON GRIS 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,12/02/2016,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.26,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A026763,PELDAÑO FIOR. C1 OREGON NOGAL 33X120,PZ,11.59,11.39,PAV/REV,PAV/REV,12/02/2016,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A026764,PELDAÑO FIOR. C1 OREGON ROBLE 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,12/02/2016,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.2,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A026765,PELDAÑO FIOR. C1 OREGON WENGUE 33X120,PZ,13.27,13.04,PAV/REV,PAV/REV,12/02/2016,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.29,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032160,PELDAÑO RECTO ANT. C3 OREGON GRIS 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,24/04/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,1.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032162,PELDAÑO RECTO ANT. C3 OREGON ROBLE 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,24/04/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A039996,PELDAÑO RECTO C1 OREGON HAYA 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,16/09/2022,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A040088,PELDAÑO RECTO C1 OREGON NOGAL 33X120,PZ,12.5,12.5,PAV/REV,PAV/REV,08/11/2022,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.32,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A040089,PELDAÑO RECTO C1 OREGON ROBLE 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,08/11/2022,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,OREGON,,APE,33X120,3.34,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A032467,PELDAÑO RECTO ANT. C3  QUEBEC GRIS 33X120,PZ,11.82,11.53,PAV/REV,PAV/REV,07/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,QUEBEC,,APE,33X120,1.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032469,PELDAÑO RECTO ANT. C3 QUEBEC NATURAL 33X120,PZ,11.82,11.53,PAV/REV,PAV/REV,07/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,QUEBEC,,APE,33X120,1.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A037930,PELDAÑO RECTO ANT. C3 TRIANA CAOBA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,30/10/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.27,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A037931,PELDAÑO RECTO ANT. C3 TRIANA DESIERTO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,30/10/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A037929,PELDAÑO RECTO ANT. C3 TRIANA HAYA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,30/10/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A037932,PELDAÑO RECTO ANT. C3 TRIANA PERLA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,30/10/2020,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038233,PELDAÑO RECTO C1 TRIANA CANELA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,23/02/2021,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.17,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038234,PELDAÑO RECTO C1 TRIANA CAOBA 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,23/02/2021,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.17,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038235,PELDAÑO RECTO C1 TRIANA CENIZA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,23/02/2021,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.17,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038236,PELDAÑO RECTO C1 TRIANA DESIERTO 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,23/02/2021,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.26,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A038237,PELDAÑO RECTO C1 TRIANA HAYA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,23/02/2021,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,TRIANA,,APE,33X120,3.17,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
